Text,Speaker
"what are you talking about? 'one woman'? that's like saying there's only one flavour of ice cream for you. lemme tell you something, ross. there's lots of flavours out there. there's rocky road, and cookie dough, and bing! cherry vanilla. you could get 'em with jimmies, or nuts, or whipped cream! this is the best thing that ever happened to you! you got married, you were, like, what, eight? welcome back to the world! grab a spoon!",joey
i honestly don't know if i'm hungry or horny.,ross
stay out of my freezer!,chandler
,break
"ever since she walked out on me, i, uh...",paul
"what?..... what, you wanna spell it out with noodles?",monica
"no, it's, it's more of a fifth date kinda revelation.",paul
"oh, so there is gonna be a fifth date?",monica
isn't there?,paul
"yeah... yeah, i think there is. -what were you gonna say?",monica
"well, ever-ev-... ever since she left me, um, i haven't been able to, uh, perform. ...sexually.",paul
"oh god, oh god, i am sorry... i am so sorry...",monica
it's okay...,paul
being spit on is probably not what you need right now. um... how long?,monica
two years.,paul
wow! i'm glad you smashed her watch!,monica
"so you still think you, um... might want that fifth date?",paul
"...yeah. yeah, i do.",monica
,break
"'i, joanie, take you, charles, to be my lawful husband.' 'do you take...'",tv
oh...see... but joanie loved chachi! that's the difference!,rachel
,break
,ross
monica + rachel's apartment. rachel is making coffee for joey and chandler),break
"isn't this amazing? i mean, i have never made coffee before in my entire life.",rachel
that is amazing.,chandler
"congratulations. and while you're on a roll, if you feel like you gotta make like a western omelette or something... although actually i'm really not that hungry...",joey
morning. good morning.,all
morning.,paul
"morning, paul.",joey
"hello, paul.",rachel
"hi, paul, is it?",chandler
i had a really great time last night.,monica
thank you. thank you so much.,paul
we'll talk later.,monica
yeah.,paul
that wasn't a real date?! what the hell do you do on a real date?,joey
"shut up, and put my table back.",monica
okayyy!,all
"all right, kids, i gotta get to work. if i don't input those numbers,... it doesn't make much of a difference...",chandler
"so, like, you guys all have jobs?",rachel
"yeah, we all have jobs. see, that's how we buy stuff.",monica
"yeah, i'm an actor.",joey
wow! would i have seen you in anything?,rachel
i doubt it. mostly regional work.,joey
"oh wait, wait, unless you happened to catch the reruns' production of pinocchio.",monica
"'look, gippetto, i'm a real live boy.'",chandler
i will not take this abuse.,joey
"you're right, i'm sorry. 'once i was a wooden boy, a little wooden boy..'",chandler
so how you doing today? did you sleep okay? talk to barry? i can't stop smiling.,monica
i can see that. you look like you slept with a hanger in your mouth.,rachel
"i know, he's just so, so... do you remember you and tony demarco?",monica
"oh, yeah.",rachel
"well, it's like that. with feelings.",monica
oh wow. are you in trouble.,rachel
"okay. okay. i am just going to get up, go to work and not think about him all day. or else i'm just gonna get up and go to work.",monica
"oh, look, wish me luck!",rachel
what for?,monica
i'm gonna go get one of those job things.,rachel
iridium,break
"hey, monica!",frannie
"hey, welcome back! how was florida?",monica
"you had s*x, didn't you?",frannie
how do you do that?,monica
so? who?,frannie
you know paul?,monica
"paul the wine guy? oh yeah, i know paul.",frannie
you mean you know paul like i know paul?,monica
"are you kidding? i take credit for paul. y'know before me, there was no snap in his turtle for two years.",frannie
,break
of course it was a line!,joey
"why?! why? why, why would anybody do something like that?",monica
i assume we're looking for an answer more sophisticated than 'to get you into bed'.,ross
is it me? is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear?,monica
"all right, c'mere, gimme your feet.",phoebe
"i just thought he was nice, y'know?",monica
i can't believe you didn't know it was a line!,joey
guess what?,rachel
you got a job?,ross
are you kidding? i'm trained for nothing! i was laughed out of twelve interviews today.,rachel
and yet you're surprisingly upbeat.,chandler
"you would be too if you found john and david boots on sale, fifty percent off!",rachel
"oh, how well you know me...",chandler
"they're my new 'i don't need a job, i don't need my parents, i've got great boots' boots!",rachel
how'd you pay for them?,monica
"uh, credit card.",rachel
and who pays for that?,monica
um... my... father.,rachel
,break
"c'mon, you can't live off your parents your whole life.",monica
i know that. that's why i was getting married.,rachel
"give her a break, it's hard being on your own for the first time.",phoebe
thank you.,rachel
"you're welcome. i remember when i first came to this city. i was fourteen. my mom had just killed herself and my step-dad was back in prison, and i got here, and i didn't know anybody. and i ended up living with this albino guy who was, like, cleaning windows outside port authority, and then he killed himself, and then i found aromatherapy. so believe me, i know exactly how you feel.",phoebe
the word you're looking for is 'anyway'...,ross
you ready?,monica
i don't think so.,rachel
"c'mon, cut. cut, cut, cut,...",ross
"cut, cut, cut, cut, cut, cut, cut...",break
welcome to the real world! it sucks. you're gonna love it!,monica
,break
"well, that's it.",monica
you gonna crash on the couch?,rachel
"no. no, i gotta go home sometime.",ross
you be okay?,monica
yeah.,ross
"hey mon, look what i just found on the floor. what?",rachel
"that's paul's watch. you just put it back where you found it. oh boy. alright. goodnight, everybody.",monica
"mmm. oh, no-",ross
sorry-,rachel
"no no no, go-",ross
"no, you have it, really, i don't want it-",rachel
split it?,ross
okay.,rachel
"okay. you know you probably didn't know this, but back in high school, i had a, um, major crush on you.",ross
i knew.,rachel
you did! oh.... i always figured you just thought i was monica's geeky older brother.,ross
i did.,rachel
"oh. listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if i asked you out? sometime? maybe?",ross
"yeah, maybe...",rachel
"okay... okay, maybe i will...",ross
goodnight.,rachel
goodnight.,ross
"see ya.... waitwait, what's with you?",monica
i just grabbed a spoon.,ross
central perk,credits scene
i can't believe what i'm hearing here.,joey
i can't believe what i'm hearing here...,phoebe
what? i-i said you had a-,monica
what i said...,phoebe
would you stop?,monica
"oh, was i doing it again?",phoebe
would anybody like more coffee?,rachel
"did you make it, or are you just serving it?",chandler
i'm just serving it.,rachel
"yeah. yeah, i'll have a cup of coffee.",all
"kids, new dream... i'm in las vegas. i'm liza minelli-",chandler
central perk,pre-intro scene
"what you guys don't understand is, for us, kissing is as important as any part of it.",monica
"yeah, right!.......y'serious?",joey
"oh, yeah!",phoebe
everything you need to know is in that first kiss.,rachel
absolutely.,monica
"yeah, i think for us, kissing is pretty much like an opening act, y'know? i mean it's like the stand-up comedian you have to sit through before pink floyd comes out.",chandler
"yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",ross
"the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? i mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",chandler
"yeah, well, word of advice: bring back the comedian. otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",rachel
....are we still talking about s*x?,joey
museum of prehistoric history,break
"no, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",ross
"well, she has issues.",marsha
does she.,ross
"he's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",marsha
"marsha, these are cave people. okay? they have issues like 'gee, that glacier's getting kinda close.' see?",ross
"speaking of issues, isn't that your ex-wife?",marsha
no. no.,ross
"yes, it is. carol! hi!",marsha
"okay, okay, yes, it is. how about i'll, uh, catch up with you in the ice age.",ross
hi.,ross
so.,carol
"you look great. i, uh... i hate that.",ross
sorry. you look good too.,carol
"ah, well, in here, anyone who... stands erect... so what's new? still, uh...",ross
a lesbian?,carol
"well... you never know. how's, um.. how's the family?",ross
"marty's still totally paranoid. oh, and, uh-",carol
"why- why are you here, carol?",ross
i'm pregnant.,carol
pregnant?!,ross
,break
"oh, i think this is the episode of three's company where there's some kind of misunderstanding.",chandler
...then i've already seen this one!,phoebe
are you through with that?,monica
"yeah, sorry, the swallowing slowed me down.",joey
whose little ball of paper is this?!,monica
"oh, uh, that would be mine. see, i wrote a note to myself, and then i realised i didn't need it, so i balled it up and... ...now i wish i was dead.",chandler
"she's already fluffed that pillow... monica, you know, you've already fluffed that- -but, it's fine!",phoebe
"look , i'm sorry, guys, i just don't wanna give them any more ammunition than they already have.",monica
"yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",chandler
"monica- hi! um, monica, you're scaring me. i mean, you're like, you're like all chaotic and twirly. and not-not in a good way.",phoebe
"yeah, calm down. you don't see ross getting all chaotic and twirly every time they come.",joey
"that's because as far as my parents are concerned, ross can do no wrong. y'see, he's the prince. apparently they had some big ceremony before i was born.",monica
"ew, ew, ew, ew ew ew ew ew!",chandler
what?,monica
ugly naked guy got a thighmaster!,chandler
eeaagh!,all
has anybody seen my engagement ring?,rachel
"yeah, it's beautiful.",phoebe
"oh god, oh god, oh god oh god oh god oh god....",rachel
"no, look, don't touch that!",phoebe
"oh, like i wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! remember me? i'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now i'm gonna have to return the ring, without the ring, which makes it so much harder...",rachel
"easy rach, we'll find it. won't we!",monica
oh! yeah!,chandler+joey
"alright, when'd'ya have it on last?",joey
doy! probably right before she lost it!,phoebe
you don't get a lot of 'doy' these days...,chandler
"i know i had it this morning, and i know i had it when i was in the kitchen with...",rachel
...dinah?,chandler
"ohhhhh, don't be mad...",rachel
you didn't.,monica
"oh, i am sorry...",rachel
i gave you one job!,monica
"oh, but look how straight those noodles are!",rachel
"now, monica, you know that's not how you look for an engagement ring in a lasagne...",chandler
i just... can't do it.,monica
boys? we're going in.,chandler
.....hi.,ross
wow. that is not a happy hi.,monica
carol's pregnant.,ross
ooh! i found it!,phoebe
w-w-wh-... wha-... w-w-w-...,monica
"yeah. do that for another two hours, you might be where i am right about now.",ross
"kinda puts that whole pillow thing in perspective, huh, mon?",chandler
"well now, how-how do you fit into this whole thing?",rachel
"well, carol says she and susan want me to be involved, but if i'm not comfortable with it, i don't have to be involved.. basically it's entirely up to me.",ross
she is so great! i miss her.,phoebe
what does she mean by 'involved'?,monica
"i mean presumably, the biggest part of your job is done.",chandler
"anyway, they want me to go down to this- sonogram thing with them tomorrow.",ross
so what are you gonna do?,rachel
"i have no idea. no matter what i do, though, i'm still gonna be a father.",ross
".....well, this is still ruined, right?",joey
monica and rachel's.,break
"oh, martha ludwin's daughter is gonna call you. mmm! what's that curry taste?",mrs. geller
curry.,monica
mmmm!,mrs. geller
"i- i think they're great! i, i really do.",ross
"do you remember the ludwins? the big one had a thing for you, didn't she?",mr. geller
they all had a thing for him.,mrs. geller
"aw, mom...",ross
"i'm sorry, why is this girl going to call me?",monica
"oh, she just graduated, and she wants to be something in cooking, or food, or.... i don't know. anyway, i told her you had a restaurant-",mrs. geller
"no mom, i don't have a restaurant, i work in a restaurant.",monica
"well, they don't have to know that...",mrs. geller
"ross, could you come and help me with the spaghetti, please?",monica
yeah.,ross
"oh, we're having spaghetti! that's.... easy.",mrs. geller
"i know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? because i think it might take some of the heat off me.",monica
,break
"what that rachel did to her life.... we ran into her parents at the club, they were not playing very well.",mrs. geller
i'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,mr. geller
"well, at least she had the chance to leave a man at the altar...",mrs. geller
what's that supposed to mean?,monica
nothing! it's an expression.,mrs. geller
no it's not.,monica
"don't listen to your mother. you're independent, and you always have been! even when you were a kid... and you were chubby, and you had no friends, you were just fine! and you would read alone in your room, and your puzzles...",mr. geller
,break
"look, there are people like ross who need to shoot for the stars, with his museum, and his papers getting published. other people are satisfied with staying where they are- i'm telling you, these are the people who never get cancer.",mr. geller
,break
"...and i read about these women trying to have it all, and i thank god 'our little harmonica' doesn't seem to have that problem.",mr. geller
"no news, no little anecdotes to share with the folks?",monica
"look, i, uh- i realise you guys have been wondering what exactly happened between carol and me, and, so, well, here's the deal. carol's a lesbian. she's living with a woman named susan. she's pregnant with my child, and she and susan are going to raise the baby.",ross
and you knew about this?!,mrs. geller
central perk,break
"your folks are really that bad, huh?",joey
"well, y'know, these people are pros. they know what they're doing, they take their time, they get the job done.",ross
"boy, i know they say you can't change your parents,... boy, if you could- -i'd want yours.",monica
must pee.,ross
"y'know, it's even worse when you're twins.",phoebe
you're twins?,rachel
"yeah. we don't speak. she's like this high-powered, driven career type.",phoebe
what does she do?,chandler
she's a waitress.,phoebe
"all right, you guys, i kinda gotta clean up now.",rachel
"chandler, you're an only child, right? you don't have any of this.",monica
"well, no, although i did have an imaginary friend, who... my parents actually preferred.",chandler
"the lights, please..",rachel
...how long was i in there?,ross
i'm just cleaning up.,rachel
d'ya.. uh.. d'ya need any help?,ross
"uh.. okay, sure! thanks!",rachel
"anyway.. um.. so, you- uh- you nervous about barry tomorrow?",ross
oh.. a little..,rachel
mm-hmm..,ross
a lot.,rachel
mm.,ross
"so, got any advice? y'know, as someone who's recently been- dumped?",rachel
"well, you may wanna steer clear of the word 'dumped'. chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, i know it'll be hard. or, y'know, uh, hey!, i'll go down there, and i'll give barry back his ring, and you can go with carol and susan to the ob/gyn...",ross
"oh, you've got carol tomorrow.. when did it get so complicated?",rachel
got me.,ross
remember when we were in high school together?,rachel
yeah.,ross
"i mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..ross?",rachel
"yes, yes!",ross
"oh! man, i never thought i'd be here..",rachel
me either...,ross
,break
"sorry i'm late, i was stuck at work. there was this big dinosaur.. thing.. anyway.",ross
hi.,susan
"ross, you remember susan.",carol
how could i forget?,ross
ross.,susan
"good shake. good shake. so, uh, we're just waiting for...?",ross
dr. oberman.,carol
..dr. oberman. okay. and is he-,ross
she.,susan
"-she, of course, she- uh- familiar with our.. special situation?",ross
"yes, and she's very supportive.",carol
"okay, that's great.",ross
thanks.,carol
"quack, quack..",ross
ross? that opens my cervix.,carol
,break
barry?,rachel
c'mon in.,barry
are you sure?,rachel
"yeah! it's fine, it's fine. robbie's gonna be here for hours.",barry
huh?!,robbie
"so, how ya doin?",barry
i'm- uh- i'm okay... you look great!,rachel
"yeah, well..",barry
"dr. farber, jason greenstein's gagging.",bernice (over intercom)
be right there. be back in a sec.,barry (to intercom)
i dumped him.,rachel
okay.,robbie
,break
"so, um- so how's this, uh, how's this gonna work? y'know, with us? y'know, when, like, important decisions have to be made?",ross
give me a 'for instance'.,carol
"well, uh, uh, i don't know, okay, okay, how about with the, uh, with the baby's name?",ross
marlon-,carol
marlon?!,ross
"-if it's a boy, minnie if it's a girl.",carol
...as in mouse?,ross
as in my grandmother.,carol
"still, you- you say minnie, you hear mouse. um, how about, um.. how about julia?",ross
julia..,carol
we agreed on minnie.,susan
"'s'funny, um, uh, we agreed we'd spend the rest of our lives together. things change, roll with the punches. i believe julia's on the table..?",ross
,break
sorry about that. so. what have you been up to?,barry
"oh, not much. i-i got a job.",rachel
"oh, that's great.",barry
why are- why are you so tanned?,rachel
"oh, i, uh- i went to aruba.",barry
oh no. you went on our honeymoon alone?,rachel
"no. i went with, uh.. now, this may hurt.",barry
me?!,robbie
no! i went with mindy.,barry
"mindy?! my maid of honour, mindy?!",rachel
"yeah, well, uh, we're kind of a thing now.",barry
"oh! well, um.. you've got plugs!",rachel
careful! they haven't quite taken yet.,barry
and you've got lenses! but you hate sticking your finger in your eye!,rachel
"not for her. listen, i really wanted to thank you.",barry
okay..,rachel
"see, about a month ago, i wanted to hurt you. more than i've ever wanted to hurt anyone in my life. and i'm an orthodontist.",barry
wow.,rachel
"you know, you were right? i mean, i thought we were happy. we weren't happy. but with mindy, now i'm happy. spit.",barry
what?,rachel
me.,robbie
"anyway, um, i guess this belongs to you. and thank you for giving it to me.",rachel
"well, thank you for giving it back.",barry
hello?!,robbie
,break
"oh, please! what's wrong with helen?",susan
helen geller? i don't think so.,ross
hello? it's not gonna be helen geller.,carol
thank you!,ross
"no, i mean it's not geller.",carol
"what, it's gonna be helen willick?",ross
"no, actually, um, we talked about helen willick-bunch.",carol
"well, wait a minute, wha- why is she in the title?",ross
it's my baby too.,susan
"oh, 's'funny, really? um, i don't remember you making any sperm.",ross
"yeah, and we all know what a challenge that is!",susan
"all right, you two, stop it!",carol
"no no no, she gets a credit, hey, i'm in there too.",ross
ross. you're not actually suggesting helen willick-bunch-geller? 'cause i think that borders on child abuse.,carol
"of course not, i'm... suggesting geller-willick-bunch.",ross
"oh, no, nonononono, you see what he's doing? he knows no-one's gonna say all those names, so they'll wind up calling her geller, then he gets his way!",susan
"my way?! you-you think this is my way? believe me, of all the ways i ever imagined this moment in my life being, this is not my way- y'know what? uh, um, this is too hard. i'm not, i can't do-",ross
knock knock!how are we today? any nausea?,dr. oberman
yeah. yeah. a little.,all
"well, i was just wondering about the mother-to-be, but.. thanks for sharing. uh, lie back..",dr. oberman
"you- uh- y'know what, i'm gonna go. i don't- i don't think i can be involved in this particular thing right now.",ross
oh my god.,ross
look at that.,susan
i know.,carol
monica+rachel's apartment.,credits scene
well? isn't that amazing?,ross
what are we supposed to be seeing here?,joey
"i dunno, but.. i think it's about to attack the enterprise.",chandler
"you know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",phoebe
"then don't do that, alright?",ross
okay!,phoebe
monica. whaddya think?,ross
mm-hmm.,monica
wh- are you welling up?,ross
no.,monica
"you are, you're welling up.",ross
am not!,monica
you're gonna be an aunt.,ross
oh shut up!,monica
"okay, i know it was a cheap shot, but i feel so much better now.",rachel
central perk,pre-intro scene
hi guys!,phoebe
"hey, pheebs! hi!",all
"hey. oh, oh, how'd it go?",ross
"um, not so good. he walked me to the subway and said 'we should do this again!'",phoebe
ohh. ouch.,all
"what? he said 'we should do it again', that's good, right?",rachel
"uh, no. loosely translated 'we should do this again' means 'you will never see me naked'.",monica
since when?,rachel
"since always. it's like dating language. y'know, like 'it's not you' means 'it is you'.",joey
or 'you're such a nice guy' means 'i'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,chandler
"or, or, y'know, um, 'i think we should see other people' means 'ha, ha, i already am'.",phoebe
and everybody knows this?,rachel
yeah. cushions the blow.,joey
"yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",chandler
"that's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",ross
"uh, ross.",monica
"what? wh- hello? the millners' farm in connecticut? the millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....oh my god, chi chi!",ross
chandler and joey's apartment.,break
"""so how does it feel knowing you're about to die?""",chandler
"""warden, in five minutes my pain will be over. but you'll have to live with the knowledge that you sent an honest man to die.""",joey
"hey, that was really good!",chandler
thanks! let's keep going.,joey
"okay. ""so. whaddya want from me, damone, huh?""",chandler
"""i just wanna go back to my cell. 'cause in my cell, i can smoke.""",joey
"""smoke away.""",chandler
i think this is probably why damone smokes in his cell alone.,chandler
what?,joey
relax your hand!,chandler
not so much!,chandler
whoah!,joey
hey!,chandler
hey!,joey
"alright, now try taking a puff.",chandler
alright.. okay. no. give it to me.,chandler
"no no no, i am not giving you a cigarette.",joey
"it's fine, it's fine. look, do you wanna get this part, or not? here.",chandler
"don't think of it as a cigarette. think of it as the thing that's been missing from your hand. when you're holding it, you feel right. you feel complete.",chandler
y'miss it?,joey
"nah, not so much. alright, now we smoke.",chandler
central perk,break
"no, no, no. they say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.",monica
that's ridiculous!,joey
can i use.. either thumb?,ross
decaf cappucino for joey.. coffee black.. late.. and an iced tea. i'm getting pretty good at this!,rachel
"yeah. yeah, excellent.",all
good for me!,rachel
"y'okay, phoebe?",joey
"yeah- no- i'm just- it's, i haven't worked- it's my bank.",phoebe
what did they do to you?,monica
"it's nothing, it's just- okay. i'm going through my mail, and i open up their monthly, you know, statement-",phoebe
easy.,ross
- and there's five hundred extra dollars in my account.,phoebe
"oh, satan's minions at work again...",chandler
"yes, 'cause now i have to go down there, and deal with them.",phoebe
what are you talking about? keep it!,joey
"it's not mine, i didn't earn it, if i kept it, it would be like stealing.",phoebe
"yeah, but if you spent it, it would be like shopping!",rachel
"okay. okay, let's say i bought a really great pair of shoes. do you know what i'd hear, with every step i took? 'not-mine. not-mine. not-mine.' and even if i was happy, okay, and, and skipping- 'not-not-mine, not-not-mine, not-not-mine, not-not-mine'...",phoebe
we're with you. we got it.,monica
okay. i'd- just- i'd never be able to enjoy it. it would be like this giant karmic debt.,phoebe
"chandler, what are you doing?",rachel
hey. whaddya doing?,monica
"oh! oh, god!",all
what is this?!,ross
"i'm smoking. i'm smoking, i'm smoking.",chandler
"oh, i can't believe you! you've been so good, for three years!",phoebe
and this- is my reward!,chandler
"hold on a second, alright? just think about what you went through the last time you quit.",ross
"okay, so this time i won't quit!",chandler
ohhh! put it out!,all
"all right! i'm putting it out, i'm putting it out.",chandler
"oh, no! i- i can't drink this now!",phoebe
"alright. i'm gonna go change, i've got a date.",monica
this alan again? how's it goin'?,rachel
"'s'going pretty good, y'know? it's nice, and, we're having fun.",monica
so when do we get to meet the guy?,joey
"let's see, today's monday... never.",monica
"oh, come on! come on!",all
no. not after what happened with steve.,monica
what are you talking about? we love schhteve! schhteve was schhexy!.. sorry.,chandler
"look, i don't even know how i feel about him yet. just give me a chance to figure that out.",monica
"well, then can we meet him?",rachel
nope. schhorry.,monica
iridium,break
"i mean, why should i let them meet him? i mean, i bring a guy home, and within five minutes they're all over him. i mean, they're like- coyotes, picking off the weak members of the herd.",monica
"listen. as someone who's seen more than her fair share of bad beef, i'll tell you: that is not such a terrible thing. i mean, they're your friends, they're just looking out after you.",paula
"i know. i just wish that once, i'd bring a guy home that they actually liked.",monica
"well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",paula
,break
"let it go, ross.",joey
"yeah, well, you didn't know chi chi.",ross
do you all promise?,monica
yeah! we promise! we'll be good!,all
chandler? do you promise to be good?,monica
"you can come in, but your filter-tipped little buddy has to stay outside!",joey
"hey, pheebs.",ross
"'dear ms. buffay. thank you for calling attention to our error. we have credited your account with five hundred dollars. we're sorry for the inconvenience, and hope you'll accept this- -football phone as our free gift.' do you believe this?! now i have a thousand dollars, and a football phone!",phoebe
what bank is this?,rachel
hey. it's him. who is it?,monica
it's alan.,alan (intercom)
chandler! he's here!,joey
"okay, please be good, please. just remember how much you all like me.",monica
"hi. alan, this is everybody. everybody, this is alan.",monica
hi.,alan
"hi, alan.",all
i've heard schho much about all you guyschh!,alan
rachel+ monica's,break
"okay. okay, let's let the alan-bashing begin. who's gonna take the first shot, hmm?",monica
c'mon!,monica
"...i'll go. let's start with the way he kept picking at- no, i'm sorry, i can't do this, can't do this. we loved him.",ross
loved him! yeah! he's great!,all
wait a minute! we're talking about someone that i'm going out with?,monica
yeah!,all
and did you notice...?,rachel
yeah.,the guys
